#Settings
,Signal to Noise Ratio,Window size,Lower frequency bound,Upper frequency bound,Skip similar frequency regions,Chancel run after 10 similar frequencies,Ignore unsignificant frequencies number
0,3.5,2.0,,,False,True,0


#Statistics
,Duty cycle,Nyquist frequency,Total number of found frequencies
0,0.9207659413648241,360.0019637387029,95


#Result
f_nr,frequency,amp,phase,snr,res_noise,significant
0,11.070403+/-0.000006,0.001633+/-0.000020,0.8673+/-0.0019,15.867731613869806,-5.602502336729473e-05,True
1,11.624516+/-0.000006,0.001650+/-0.000020,0.6031+/-0.0019,22.023239729391715,-5.615643771761831e-05,True
2,1.197217+/-0.000006,0.001605+/-0.000020,0.9454+/-0.0020,21.988768235712357,-4.9922622571733574e-05,True
3,12.795192+/-0.000006,0.001496+/-0.000020,0.5000+/-0.0021,20.657906457330082,-5.0553797214044435e-05,True
4,12.7951918+/-0.0000031,0.002993+/-0.000020,0.5000+/-0.0011,27.829983468693225,-5.181606692182031e-05,True
5,12.7956297+/-0.0000016,0.005971+/-0.000020,0.2815+/-0.0005,32.38614375432696,-4.905933218620903e-05,True
6,2.396807+/-0.000008,0.001187+/-0.000020,0.7515+/-0.0027,27.655076885347906,-4.560562009598272e-05,True
7,20.122505+/-0.000010,0.000899+/-0.000020,0.7511+/-0.0035,19.906275147491122,-4.5368135133377446e-05,True
8,18.924955+/-0.000011,0.000832+/-0.000020,0.607+/-0.004,19.36741992902933,-4.623310680578037e-05,True
9,12.821734+/-0.000012,0.000779+/-0.000020,0.360+/-0.004,15.522571730138198,-4.68837558011173e-05,True
10,0.008306+/-0.000014,0.000689+/-0.000020,0.864+/-0.005,8.560050332630436,-5.1174839927848405e-05,True
11,10.427299+/-0.000014,0.000680+/-0.000020,0.516+/-0.005,18.072332390601616,-5.069351954995206e-05,True
12,5.987273+/-0.000014,0.000675+/-0.000020,0.770+/-0.005,25.292505319519023,-5.137287841862222e-05,True
13,25.635161+/-0.000016,0.000576+/-0.000020,0.580+/-0.005,9.911016807759603,-5.1317425230064536e-05,True
14,7.185676+/-0.000017,0.000555+/-0.000020,0.013+/-0.006,24.499483842846423,-5.1523439974151825e-05,True
15,0.384438+/-0.000017,0.000552+/-0.000020,0.758+/-0.006,8.714465320389495,-4.3631604548717296e-05,True
16,4.787682+/-0.000020,0.000461+/-0.000020,0.468+/-0.007,24.287231519545585,-4.285936400395175e-05,True
17,0.029663+/-0.000021,0.000447+/-0.000020,0.903+/-0.007,7.840868233027128,-2.9008095796875706e-05,True
18,0.599202+/-0.000022,0.000426+/-0.000020,0.381+/-0.007,8.991960094094031,-3.313201278740738e-05,True
19,12.006582+/-0.000027,0.000350+/-0.000020,0.378+/-0.009,7.654515444945972,-3.294110791152064e-05,True
20,3.597584+/-0.000027,0.000345+/-0.000020,0.132+/-0.009,19.052611028773455,-3.319514981911203e-05,True
21,0.045088+/-0.000028,0.000337+/-0.000020,0.536+/-0.009,7.923879590852565,-2.77967690842489e-05,True
22,26.475229+/-0.000028,0.000337+/-0.000020,0.971+/-0.009,6.407115934851273,-2.778311995441527e-05,True
23,24.231486+/-0.000028,0.000336+/-0.000020,0.062+/-0.009,8.522141829691352,-2.8005263104064174e-05,True
24,21.064329+/-0.000028,0.000333+/-0.000020,0.998+/-0.010,12.029049805335966,-2.8163751436199486e-05,True
25,8.382894+/-0.000029,0.000321+/-0.000020,0.230+/-0.010,16.441087138415714,-2.803997045685288e-05,True
26,11.026501+/-0.000030,0.000316+/-0.000020,0.085+/-0.010,9.164760870953279,-2.8226421084061188e-05,True
27,23.034078+/-0.000031,0.000302+/-0.000020,0.667+/-0.010,10.004698169123222,-2.8510812329280725e-05,True
28,21.155979+/-0.000032,0.000294+/-0.000020,0.586+/-0.011,12.608081332358292,-2.8249789781218916e-05,True
29,26.024346+/-0.000032,0.000292+/-0.000020,0.644+/-0.011,5.963528032957946,-2.811207413669706e-05,True
30,27.221563+/-0.000032,0.000291+/-0.000020,0.344+/-0.011,7.973477180174088,-2.822479465679863e-05,True
31,18.790022+/-0.000032,0.000288+/-0.000020,0.723+/-0.011,11.210833280660776,-2.8259334735528194e-05,True
32,12.802749+/-0.000032,0.000287+/-0.000020,0.095+/-0.011,7.606552735970212,-2.8621499752613156e-05,True
